Panel;Gruboœæ;Materia³;Typ siatkowania;Typ zbrojenia;Obiekt konstrukcyjny;Zamro¿enie siatki
1;30;B37;Coons;Strop ¿elbetowy2;Panel;Nie
2;20;B37;Coons;Strop ¿elbetowy2;Panel;Nie
3;20;B37;Coons;Strop ¿elbetowy2;Panel;Nie
4;20;B37;Coons;Strop ¿elbetowy2;Panel;Nie
5;20;B37;Coons;Strop ¿elbetowy2;Panel;Nie
6;20;B37;Coons;Strop ¿elbetowy2;Panel;Nie
7;20;B37;Coons;Strop ¿elbetowy2;Panel;Nie
8;20;B37;Coons;Strop ¿elbetowy2;Panel;Nie
9;20;B37;Coons;Strop ¿elbetowy2;Panel;Nie
10;15;B37;Coons;Strop ¿elbetowy3;Panel;Nie
